"id","stage","negotiator_slot","role","role_observer","age","economic_status","sex","sex_man","participant_faculty","participant_engineering","treatment","attention_pass","analysis_include","iri_total","iri_total_z","iri_fs","iri_ec","iri_pt","iri_pd","faculty_negotiator","faculty_victim","negotiator_alignment","perp_outgroup","perp_control","victim_outgroup","same_group_harm","decision_accept","comparative_judgement","judgement","severity","condemnation"
10,2,1,"observer",1,21,3,1,0,1,0,2,TRUE,TRUE,2.67857142857143,1.06421638255777,2.57142857142857,2.375,3.57142857142857,2.16666666666667,1,2,"ingroup",0,0,1,0,1,3,-9,18,9
10,2,2,"observer",1,21,3,1,0,1,0,2,TRUE,TRUE,2.67857142857143,1.06421638255777,2.57142857142857,2.375,3.57142857142857,2.16666666666667,2,2,"outgroup",1,0,1,1,1,3,-9,18,9
10,3,1,"observer",1,21,3,1,0,1,0,2,TRUE,TRUE,2.67857142857143,1.06421638255777,2.57142857142857,2.375,3.57142857142857,2.16666666666667,2,2,"outgroup",1,0,1,1,1,1,-9,18,9
10,5,1,"observer",1,21,3,1,0,1,0,2,TRUE,TRUE,2.67857142857143,1.06421638255777,2.57142857142857,2.375,3.57142857142857,2.16666666666667,3,2,"control",0,1,1,,1,1,-9,18,9
11,1,1,"observer",1,20,3,1,0,1,0,2,TRUE,TRUE,2.85714285714286,1.45471513583502,3,2.625,3.28571428571429,2.5,3,1,"control",0,1,0,,1,3,1,8,-1
11,1,2,"observer",1,20,3,1,0,1,0,2,TRUE,TRUE,2.85714285714286,1.45471513583502,3,2.625,3.28571428571429,2.5,1,1,"ingroup",0,0,0,1,1,3,1,8,-1
11,3,2,"observer",1,20,3,1,0,1,0,2,TRUE,TRUE,2.85714285714286,1.45471513583502,3,2.625,3.28571428571429,2.5,2,2,"outgroup",1,0,1,1,1,2,1,8,-1
11,6,1,"victim",0,20,3,1,0,1,0,2,TRUE,TRUE,2.85714285714286,1.45471513583502,3,2.625,3.28571428571429,2.5,2,1,"outgroup",1,0,0,0,1,3,1,8,-1
11,6,2,"victim",0,20,3,1,0,1,0,2,TRUE,TRUE,2.85714285714286,1.45471513583502,3,2.625,3.28571428571429,2.5,3,1,"control",0,1,0,,1,3,1,8,-1
11,7,2,"victim",0,20,3,1,0,1,0,2,TRUE,TRUE,2.85714285714286,1.45471513583502,3,2.625,3.28571428571429,2.5,3,1,"control",0,1,0,,1,2,1,8,-1
11,8,2,"victim",0,20,3,1,0,1,0,2,TRUE,TRUE,2.85714285714286,1.45471513583502,3,2.625,3.28571428571429,2.5,2,1,"outgroup",1,0,0,0,1,2,1,8,-1
11,10,2,"victim",0,20,3,1,0,1,0,2,TRUE,TRUE,2.85714285714286,1.45471513583502,3,2.625,3.28571428571429,2.5,3,1,"control",0,1,0,,1,2,1,8,-1
12,1,1,"victim",0,18,2,2,1,1,0,1,TRUE,TRUE,1.39285714285714,-1.74737464103841,0.285714285714286,2,2.42857142857143,0.666666666666667,3,1,"control",0,1,0,,1,3,0,9,0
12,1,2,"victim",0,18,2,2,1,1,0,1,TRUE,TRUE,1.39285714285714,-1.74737464103841,0.285714285714286,2,2.42857142857143,0.666666666666667,1,1,"ingroup",0,0,0,1,1,3,0,9,0
12,2,1,"victim",0,18,2,2,1,1,0,1,TRUE,TRUE,1.39285714285714,-1.74737464103841,0.285714285714286,2,2.42857142857143,0.666666666666667,2,1,"outgroup",1,0,0,0,1,3,-5,14,5
12,2,2,"victim",0,18,2,2,1,1,0,1,TRUE,TRUE,1.39285714285714,-1.74737464103841,0.285714285714286,2,2.42857142857143,0.666666666666667,3,1,"control",0,1,0,,1,3,-5,14,5
12,3,2,"victim",0,18,2,2,1,1,0,1,TRUE,TRUE,1.39285714285714,-1.74737464103841,0.285714285714286,2,2.42857142857143,0.666666666666667,2,1,"outgroup",1,0,0,0,1,2,-9,18,9
12,4,2,"victim",0,18,2,2,1,1,0,1,TRUE,TRUE,1.39285714285714,-1.74737464103841,0.285714285714286,2,2.42857142857143,0.666666666666667,1,1,"ingroup",0,0,0,1,1,2,-5,14,5
12,5,1,"victim",0,18,2,2,1,1,0,1,TRUE,TRUE,1.39285714285714,-1.74737464103841,0.285714285714286,2,2.42857142857143,0.666666666666667,2,1,"outgroup",1,0,0,0,1,1,-9,18,9
12,6,1,"observer",1,18,2,2,1,1,0,1,TRUE,TRUE,1.39285714285714,-1.74737464103841,0.285714285714286,2,2.42857142857143,0.666666666666667,3,2,"control",0,1,1,,1,3,-9,18,9
12,6,2,"observer",1,18,2,2,1,1,0,1,TRUE,TRUE,1.39285714285714,-1.74737464103841,0.285714285714286,2,2.42857142857143,0.666666666666667,3,2,"control",0,1,1,,1,3,-9,18,9
12,7,2,"observer",1,18,2,2,1,1,0,1,TRUE,TRUE,1.39285714285714,-1.74737464103841,0.285714285714286,2,2.42857142857143,0.666666666666667,2,1,"outgroup",1,0,0,0,1,3,-9,18,9
12,10,2,"observer",1,18,2,2,1,1,0,1,TRUE,TRUE,1.39285714285714,-1.74737464103841,0.285714285714286,2,2.42857142857143,0.666666666666667,3,2,"control",0,1,1,,1,3,-5,14,5
13,1,1,"victim",0,19,4,1,0,1,0,1,TRUE,TRUE,2.35714285714286,0.361318626658728,1.85714285714286,2.625,3,1.83333333333333,1,1,"ingroup",0,0,0,1,1,3,1,8,-1
13,1,2,"victim",0,19,4,1,0,1,0,1,TRUE,TRUE,2.35714285714286,0.361318626658728,1.85714285714286,2.625,3,1.83333333333333,3,1,"control",0,1,0,,1,3,1,8,-1
13,2,1,"victim",0,19,4,1,0,1,0,1,TRUE,TRUE,2.35714285714286,0.361318626658728,1.85714285714286,2.625,3,1.83333333333333,1,1,"ingroup",0,0,0,1,1,1,0,9,0
13,3,2,"victim",0,19,4,1,0,1,0,1,TRUE,TRUE,2.35714285714286,0.361318626658728,1.85714285714286,2.625,3,1.83333333333333,1,1,"ingroup",0,0,0,1,1,2,0,9,0
13,4,1,"victim",0,19,4,1,0,1,0,1,TRUE,TRUE,2.35714285714286,0.361318626658728,1.85714285714286,2.625,3,1.83333333333333,1,1,"ingroup",0,0,0,1,1,1,-1,10,1
13,5,1,"victim",0,19,4,1,0,1,0,1,TRUE,TRUE,2.35714285714286,0.361318626658728,1.85714285714286,2.625,3,1.83333333333333,1,1,"ingroup",0,0,0,1,1,3,-1,10,1
13,5,2,"victim",0,19,4,1,0,1,0,1,TRUE,TRUE,2.35714285714286,0.361318626658728,1.85714285714286,2.625,3,1.83333333333333,1,1,"ingroup",0,0,0,1,1,3,-1,10,1
13,6,1,"observer",1,19,4,1,0,1,0,1,TRUE,TRUE,2.35714285714286,0.361318626658728,1.85714285714286,2.625,3,1.83333333333333,3,1,"control",0,1,0,,1,3,-1,10,1
13,6,2,"observer",1,19,4,1,0,1,0,1,TRUE,TRUE,2.35714285714286,0.361318626658728,1.85714285714286,2.625,3,1.83333333333333,1,1,"ingroup",0,0,0,1,1,3,-1,10,1
13,8,1,"observer",1,19,4,1,0,1,0,1,TRUE,TRUE,2.35714285714286,0.361318626658728,1.85714285714286,2.625,3,1.83333333333333,3,1,"control",0,1,0,,1,1,-1,10,1
13,10,1,"observer",1,19,4,1,0,1,0,1,TRUE,TRUE,2.35714285714286,0.361318626658728,1.85714285714286,2.625,3,1.83333333333333,2,2,"outgroup",1,0,1,1,1,3,-1,10,1
13,10,2,"observer",1,19,4,1,0,1,0,1,TRUE,TRUE,2.35714285714286,0.361318626658728,1.85714285714286,2.625,3,1.83333333333333,2,2,"outgroup",1,0,1,1,1,3,-1,10,1
14,1,1,"observer",1,24,2,1,0,1,0,2,TRUE,TRUE,2.57142857142857,0.829917130591424,2.71428571428571,2.5,2.71428571428571,2.33333333333333,1,1,"ingroup",0,0,0,1,1,1,-1,10,1
14,2,1,"observer",1,24,2,1,0,1,0,2,TRUE,TRUE,2.57142857142857,0.829917130591424,2.71428571428571,2.5,2.71428571428571,2.33333333333333,1,2,"ingroup",0,0,1,0,1,1,-2,11,2
14,4,1,"observer",1,24,2,1,0,1,0,2,TRUE,TRUE,2.57142857142857,0.829917130591424,2.71428571428571,2.5,2.71428571428571,2.33333333333333,3,2,"control",0,1,1,,1,2,3,6,-3
14,5,1,"observer",1,24,2,1,0,1,0,2,TRUE,TRUE,2.57142857142857,0.829917130591424,2.71428571428571,2.5,2.71428571428571,2.33333333333333,3,2,"control",0,1,1,,1,1,-2,11,2
14,7,1,"victim",0,24,2,1,0,1,0,2,TRUE,TRUE,2.57142857142857,0.829917130591424,2.71428571428571,2.5,2.71428571428571,2.33333333333333,2,1,"outgroup",1,0,0,0,1,1,-6,15,6
14,9,1,"victim",0,24,2,1,0,1,0,2,TRUE,TRUE,2.57142857142857,0.829917130591424,2.71428571428571,2.5,2.71428571428571,2.33333333333333,3,1,"control",0,1,0,,1,3,-9,18,9
14,9,2,"victim",0,24,2,1,0,1,0,2,TRUE,TRUE,2.57142857142857,0.829917130591424,2.71428571428571,2.5,2.71428571428571,2.33333333333333,2,1,"outgroup",1,0,0,0,1,3,-9,18,9
14,10,1,"victim",0,24,2,1,0,1,0,2,TRUE,TRUE,2.57142857142857,0.829917130591424,2.71428571428571,2.5,2.71428571428571,2.33333333333333,3,1,"control",0,1,0,,1,3,-3,12,3
